benchmark, concurrency, dataset, median
BfsLevelEjmlBenchmark,1,Facebook,1
BfsLevelEjmlBenchmark,1,LDBC01,947
BfsLevelEjmlBenchmark,1,POKEC,1261
BfsLevelEjmlBenchmark,1,Slashdot0902,60
BfsLevelJGraphTBenchmark,1,Facebook,3
BfsLevelJGraphTBenchmark,1,LDBC01,634
BfsLevelJGraphTBenchmark,1,POKEC,8506
BfsLevelJGraphTBenchmark,1,Slashdot0902,227
BfsLevelNativeBenchmark,1,Facebook,0
BfsLevelNativeBenchmark,8,Facebook,0
BfsLevelNativeBenchmark,1,LDBC01,154
BfsLevelNativeBenchmark,8,LDBC01,83
BfsLevelNativeBenchmark,1,POKEC,439
BfsLevelNativeBenchmark,8,POKEC,230
BfsLevelNativeBenchmark,1,Slashdot0902,9
BfsLevelNativeBenchmark,8,Slashdot0902,8
BfsLevelPregelBenchmark,1,Facebook,10
BfsLevelPregelBenchmark,8,Facebook,37
BfsLevelPregelBenchmark,1,LDBC01,2737
BfsLevelPregelBenchmark,8,LDBC01,1222
BfsLevelPregelBenchmark,1,POKEC,2978
BfsLevelPregelBenchmark,8,POKEC,1427
BfsLevelPregelBenchmark,1,Slashdot0902,82
BfsLevelPregelBenchmark,8,Slashdot0902,76
BfsParentPregelBenchmark,1,Facebook,8
BfsParentPregelBenchmark,8,Facebook,37
BfsParentPregelBenchmark,1,LDBC01,2877
BfsParentPregelBenchmark,8,LDBC01,1268
BfsParentPregelBenchmark,1,POKEC,3081
BfsParentPregelBenchmark,8,POKEC,1444
BfsParentPregelBenchmark,1,Slashdot0902,90
BfsParentPregelBenchmark,8,Slashdot0902,89
BfsParentEjmlBenchmark,1,Facebook,3
BfsParentEjmlBenchmark,1,LDBC01,386
BfsParentEjmlBenchmark,1,POKEC,1162
BfsParentEjmlBenchmark,1,Slashdot0902,42
BfsParentNativeBenchmark,1,Facebook,1
BfsParentNativeBenchmark,8,Facebook,1
BfsParentNativeBenchmark,1,LDBC01,538
BfsParentNativeBenchmark,8,LDBC01,391
BfsParentNativeBenchmark,1,POKEC,771
BfsParentNativeBenchmark,8,POKEC,435
BfsParentNativeBenchmark,1,Slashdot0902,17
BfsParentNativeBenchmark,8,Slashdot0902,16

