Benchmark,avgDegree,concurrency,maxIterations,nodeCount,startNode,Mode,Cnt,Score,Error,Units
bfs.BfsEjmlBenchmark.ejmlDenseOldBfsLevel,4,1,100,300000,0,avgt,5,165.683,10.245,ms/op
bfs.BfsEjmlBenchmark.ejmlDenseOldBfsLevel,4,1,100,3000000,0,avgt,5,2157.170,142.307,ms/op
BfsEjmlBenchmark.ejmlDenseBfsLevel,4,1,100,300000,0,avgt,5,153.929,0.722,ms/op
BfsEjmlBenchmark.ejmlDenseBfsLevel,4,1,100,3000000,0,avgt,5,1680.958,80.669,ms/op
bfs.BfsEjmlBenchmark.ejmlSparseOldBfsLevel,4,1,100,300000,0,avgt,5,496.798,37.988,ms/op
bfs.BfsEjmlBenchmark.ejmlSparseOldBfsLevel,4,1,100,3000000,0,avgt,5,3696.285,275.459,ms/op
BfsEjmlBenchmark.ejmlSparseBfsLevel,4,1,100,300000,0,avgt,5,503.759,80.129,ms/op
BfsEjmlBenchmark.ejmlSparseBfsLevel,4,1,100,3000000,0,avgt,5,3695.521,205.005,ms/op
BfsNativeBenchmark.jniBlockingBfsLevel,4,1,100,300000,0,avgt,5,579.568,2.970,ms/op
BfsNativeBenchmark.jniBlockingBfsLevel,4,1,100,3000000,0,avgt,5,3555.807,67.977,ms/op
BfsNativeBenchmark.jniBlockingBfsLevel,4,8,100,300000,0,avgt,5,136.147,6.434,ms/op
BfsNativeBenchmark.jniBlockingBfsLevel,4,8,100,3000000,0,avgt,5,1344.237,225.070,ms/op
BfsNativeBenchmark.jniNonBlockingBfsLevel,4,1,100,300000,0,avgt,5,579.274,0.690,ms/op
BfsNativeBenchmark.jniNonBlockingBfsLevel,4,1,100,3000000,0,avgt,5,3522.167,8.454,ms/op
BfsNativeBenchmark.jniNonBlockingBfsLevel,4,8,100,300000,0,avgt,5,137.164,6.347,ms/op
BfsNativeBenchmark.jniNonBlockingBfsLevel,4,8,100,3000000,0,avgt,5,1359.386,235.616,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,1,100,300000,0,avgt,5,135.144,21.566,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,1,100,3000000,0,avgt,5,1115.955,302.693,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,8,100,300000,0,avgt,5,99.801,15.563,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,8,100,3000000,0,avgt,5,508.078,158.088,ms/op

