Benchmark,avgDegree,concurrency,maxIterations,nodeCount,sortedIndices,Mode,Cnt,Score,Error,Units
BfsEjmlBenchmark.ejmlDenseBfsLevel,4,1,100,100000,true,avgt,5,24.593,0.535,ms/op
BfsEjmlBenchmark.ejmlDenseBfsLevel,4,1,100,100000,false,avgt,5,23.858,0.653,ms/op
BfsEjmlBenchmark.ejmlDenseBfsLevel,4,1,100,500000,true,avgt,5,189.558,19.549,ms/op
BfsEjmlBenchmark.ejmlDenseBfsLevel,4,1,100,500000,false,avgt,5,179.624,27.117,ms/op
BfsEjmlBenchmark.ejmlDenseBfsLevel,4,1,100,1000000,true,avgt,5,492.526,7.128,ms/op
BfsEjmlBenchmark.ejmlDenseBfsLevel,4,1,100,1000000,false,avgt,5,528.248,94.900,ms/op
BfsEjmlBenchmark.ejmlDenseBfsLevel,4,1,100,5000000,true,avgt,5,5363.158,375.891,ms/op
BfsEjmlBenchmark.ejmlDenseBfsLevel,4,1,100,5000000,false,avgt,5,6094.575,1449.099,ms/op
BfsEjmlBenchmark.ejmlDenseSparseBfsLevel,4,1,100,100000,true,avgt,5,20.811,0.580,ms/op
BfsEjmlBenchmark.ejmlDenseSparseBfsLevel,4,1,100,100000,false,avgt,5,24.727,0.759,ms/op
BfsEjmlBenchmark.ejmlDenseSparseBfsLevel,4,1,100,500000,true,avgt,5,134.093,4.233,ms/op
BfsEjmlBenchmark.ejmlDenseSparseBfsLevel,4,1,100,500000,false,avgt,5,161.599,3.744,ms/op
BfsEjmlBenchmark.ejmlDenseSparseBfsLevel,4,1,100,1000000,true,avgt,5,363.413,15.127,ms/op
BfsEjmlBenchmark.ejmlDenseSparseBfsLevel,4,1,100,1000000,false,avgt,5,359.249,9.047,ms/op
BfsEjmlBenchmark.ejmlDenseSparseBfsLevel,4,1,100,5000000,true,avgt,5,1552.998,39.313,ms/op
BfsEjmlBenchmark.ejmlDenseSparseBfsLevel,4,1,100,5000000,false,avgt,5,3494.904,163.318,ms/op
BfsEjmlBenchmark.ejmlSparseBfsLevel,4,1,100,100000,true,avgt,5,23.333,4.831,ms/op
BfsEjmlBenchmark.ejmlSparseBfsLevel,4,1,100,100000,false,avgt,5,21.152,3.547,ms/op
BfsEjmlBenchmark.ejmlSparseBfsLevel,4,1,100,500000,true,avgt,5,129.662,42.241,ms/op
BfsEjmlBenchmark.ejmlSparseBfsLevel,4,1,100,500000,false,avgt,5,163.379,29.820,ms/op
BfsEjmlBenchmark.ejmlSparseBfsLevel,4,1,100,1000000,true,avgt,5,369.353,82.182,ms/op
BfsEjmlBenchmark.ejmlSparseBfsLevel,4,1,100,1000000,false,avgt,5,379.795,86.297,ms/op
BfsEjmlBenchmark.ejmlSparseBfsLevel,4,1,100,5000000,true,avgt,5,1681.196,284.910,ms/op
BfsEjmlBenchmark.ejmlSparseBfsLevel,4,1,100,5000000,false,avgt,5,3802.665,229.171,ms/op
BfsNativeBenchmark.jniBfsLevel,4,1,100,100000,true,avgt,5,105.025,0.472,ms/op
BfsNativeBenchmark.jniBfsLevel,4,1,100,500000,true,avgt,5,831.651,3.920,ms/op
BfsNativeBenchmark.jniBfsLevel,4,1,100,1000000,true,avgt,5,2029.114,7.972,ms/op
BfsNativeBenchmark.jniBfsLevel,4,1,100,5000000,true,avgt,5,7340.472,45.727,ms/op
BfsNativeBenchmark.jniBfsLevel,4,8,100,100000,true,avgt,5,32.992,0.470,ms/op
BfsNativeBenchmark.jniBfsLevel,4,8,100,500000,true,avgt,5,177.355,4.697,ms/op
BfsNativeBenchmark.jniBfsLevel,4,8,100,1000000,true,avgt,5,440.021,22.548,ms/op
BfsNativeBenchmark.jniBfsLevel,4,8,100,5000000,true,avgt,5,2657.100,200.000,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,1,100,100000,true,avgt,5,122.145,28.340,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,1,100,500000,true,avgt,5,556.429,172.540,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,1,100,1000000,true,avgt,5,1133.574,209.907,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,1,100,5000000,true,avgt,5,3807.392,435.283,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,8,100,100000,true,avgt,5,73.201,4.979,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,8,100,500000,true,avgt,5,211.055,38.743,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,8,100,1000000,true,avgt,5,379.133,90.375,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,8,100,5000000,true,avgt,5,1129.842,129.955,ms/op
