Benchmark,avgDegree,concurrency,degreeDistribution,nodeCount,orientation,Mode,Cnt,Score,Error,Units
BfsJGraphTBenchmark.jGraphTBfsLevel,4,1,POWER_LAW,100000,UNDIRECTED,avgt,10,123.308,6.291,ms/op
BfsJGraphTBenchmark.jGraphTBfsLevel,4,1,POWER_LAW,500000,UNDIRECTED,avgt,10,853.930,48.860,ms/op
BfsJGraphTBenchmark.jGraphTBfsLevel,4,1,POWER_LAW,1000000,UNDIRECTED,avgt,10,2301.965,295.884,ms/op
BfsJGraphTBenchmark.jGraphTBfsLevel,4,1,POWER_LAW,5000000,UNDIRECTED,avgt,10,13787.584,1169.563,ms/op
BfsNativeBenchmark.jniBfsLevel,4,1,POWER_LAW,100000,UNDIRECTED,avgt,10,5.864,0.081,ms/op
BfsNativeBenchmark.jniBfsLevel,4,1,POWER_LAW,500000,UNDIRECTED,avgt,10,35.260,0.593,ms/op
BfsNativeBenchmark.jniBfsLevel,4,1,POWER_LAW,1000000,UNDIRECTED,avgt,10,77.496,1.469,ms/op
BfsNativeBenchmark.jniBfsLevel,4,1,POWER_LAW,5000000,UNDIRECTED,avgt,10,462.458,5.417,ms/op
BfsNativeBenchmark.jniBfsLevel,4,8,POWER_LAW,100000,UNDIRECTED,avgt,10,5.941,0.173,ms/op
BfsNativeBenchmark.jniBfsLevel,4,8,POWER_LAW,500000,UNDIRECTED,avgt,10,17.038,0.357,ms/op
BfsNativeBenchmark.jniBfsLevel,4,8,POWER_LAW,1000000,UNDIRECTED,avgt,10,26.676,0.986,ms/op
BfsNativeBenchmark.jniBfsLevel,4,8,POWER_LAW,5000000,UNDIRECTED,avgt,10,139.859,8.987,ms/op
BfsNativeBenchmark.jniBfsParent,4,1,POWER_LAW,100000,UNDIRECTED,avgt,10,20.028,0.096,ms/op
BfsNativeBenchmark.jniBfsParent,4,1,POWER_LAW,500000,UNDIRECTED,avgt,10,110.817,0.790,ms/op
BfsNativeBenchmark.jniBfsParent,4,1,POWER_LAW,1000000,UNDIRECTED,avgt,10,236.376,1.406,ms/op
BfsNativeBenchmark.jniBfsParent,4,1,POWER_LAW,5000000,UNDIRECTED,avgt,10,1305.557,8.363,ms/op
BfsNativeBenchmark.jniBfsParent,4,8,POWER_LAW,100000,UNDIRECTED,avgt,10,20.879,0.573,ms/op
BfsNativeBenchmark.jniBfsParent,4,8,POWER_LAW,500000,UNDIRECTED,avgt,10,100.823,2.701,ms/op
BfsNativeBenchmark.jniBfsParent,4,8,POWER_LAW,1000000,UNDIRECTED,avgt,10,155.257,1.979,ms/op
BfsNativeBenchmark.jniBfsParent,4,8,POWER_LAW,5000000,UNDIRECTED,avgt,10,756.496,23.358,ms/op
BfsEjmlBenchmark.ejmlDenseBfsLevel,4,1,POWER_LAW,100000,UNDIRECTED,avgt,10,10.436,0.139,ms/op
BfsEjmlBenchmark.ejmlDenseBfsLevel,4,1,POWER_LAW,500000,UNDIRECTED,avgt,10,65.754,0.810,ms/op
BfsEjmlBenchmark.ejmlDenseBfsLevel,4,1,POWER_LAW,1000000,UNDIRECTED,avgt,10,175.946,2.109,ms/op
BfsEjmlBenchmark.ejmlDenseBfsLevel,4,1,POWER_LAW,5000000,UNDIRECTED,avgt,10,949.619,19.449,ms/op
BfsEjmlBenchmark.ejmlDenseBfsParent,4,1,POWER_LAW,100000,UNDIRECTED,avgt,10,9.947,0.137,ms/op
BfsEjmlBenchmark.ejmlDenseBfsParent,4,1,POWER_LAW,500000,UNDIRECTED,avgt,10,73.482,0.745,ms/op
BfsEjmlBenchmark.ejmlDenseBfsParent,4,1,POWER_LAW,1000000,UNDIRECTED,avgt,10,173.177,4.913,ms/op
BfsEjmlBenchmark.ejmlDenseBfsParent,4,1,POWER_LAW,5000000,UNDIRECTED,avgt,10,1046.179,19.415,ms/op
BfsEjmlBenchmark.ejmlDenseSparseBfsLevel,4,1,POWER_LAW,100000,UNDIRECTED,avgt,10,13.673,0.903,ms/op
BfsEjmlBenchmark.ejmlDenseSparseBfsLevel,4,1,POWER_LAW,500000,UNDIRECTED,avgt,10,87.352,34.050,ms/op
BfsEjmlBenchmark.ejmlDenseSparseBfsLevel,4,1,POWER_LAW,1000000,UNDIRECTED,avgt,10,246.218,43.561,ms/op
BfsEjmlBenchmark.ejmlDenseSparseBfsLevel,4,1,POWER_LAW,5000000,UNDIRECTED,avgt,10,1354.165,295.848,ms/op
BfsEjmlBenchmark.ejmlDenseSparseBfsParent,4,1,POWER_LAW,100000,UNDIRECTED,avgt,10,13.960,0.920,ms/op
BfsEjmlBenchmark.ejmlDenseSparseBfsParent,4,1,POWER_LAW,500000,UNDIRECTED,avgt,10,93.370,6.005,ms/op
BfsEjmlBenchmark.ejmlDenseSparseBfsParent,4,1,POWER_LAW,1000000,UNDIRECTED,avgt,10,244.492,60.986,ms/op
BfsEjmlBenchmark.ejmlDenseSparseBfsParent,4,1,POWER_LAW,5000000,UNDIRECTED,avgt,10,1708.960,193.463,ms/op
