Benchmark,avgEntriesPerColumn,avgEntriesPerColumnInMask,degreeDistribution,dimension,negatedMask,structuralMask,concurrency,Mode,Cnt,Score,Error,Units
ejmlOps.mask.MxMWithMaskBenchmark.mxmWithMask,4,5,UNIFORM,100000,false,false,1,avgt,10,21.414,0.477,ms/op
ejmlOps.mask.MxMWithMaskBenchmark.mxmWithMask,4,5,UNIFORM,100000,false,true,1,avgt,10,20.198,0.496,ms/op
ejmlOps.mask.MxMWithMaskBenchmark.mxmWithMask,4,5,UNIFORM,100000,true,false,1,avgt,10,50.201,1.176,ms/op
ejmlOps.mask.MxMWithMaskBenchmark.mxmWithMask,4,5,UNIFORM,100000,true,true,1,avgt,10,48.747,1.115,ms/op
ejmlOps.mask.MxMWithMaskBenchmark.mxmWithMask,4,50,UNIFORM,100000,false,false,1,avgt,10,25.445,0.572,ms/op
ejmlOps.mask.MxMWithMaskBenchmark.mxmWithMask,4,50,UNIFORM,100000,false,true,1,avgt,10,18.909,0.493,ms/op
ejmlOps.mask.MxMWithMaskBenchmark.mxmWithMask,4,50,UNIFORM,100000,true,false,1,avgt,10,69.279,3.296,ms/op
ejmlOps.mask.MxMWithMaskBenchmark.mxmWithMask,4,50,UNIFORM,100000,true,true,1,avgt,10,59.231,1.483,ms/op
ejmlOps.mask.MxMWithMaskNativeBenchmark.mxmNativeWithMask,4,5,UNIFORM,100000,false,false,1,avgt,10,16.260,0.022,ms/op
ejmlOps.mask.MxMWithMaskNativeBenchmark.mxmNativeWithMask,4,5,UNIFORM,100000,false,true,1,avgt,10,16.106,0.018,ms/op
ejmlOps.mask.MxMWithMaskNativeBenchmark.mxmNativeWithMask,4,5,UNIFORM,100000,true,false,1,avgt,10,124.017,0.309,ms/op
ejmlOps.mask.MxMWithMaskNativeBenchmark.mxmNativeWithMask,4,5,UNIFORM,100000,true,true,1,avgt,10,122.596,0.543,ms/op
ejmlOps.mask.MxMWithMaskNativeBenchmark.mxmNativeWithMask,4,50,UNIFORM,100000,false,false,1,avgt,10,32.208,0.650,ms/op
ejmlOps.mask.MxMWithMaskNativeBenchmark.mxmNativeWithMask,4,50,UNIFORM,100000,false,true,1,avgt,10,26.303,0.119,ms/op
ejmlOps.mask.MxMWithMaskNativeBenchmark.mxmNativeWithMask,4,50,UNIFORM,100000,true,false,1,avgt,10,201.037,1.594,ms/op
ejmlOps.mask.MxMWithMaskNativeBenchmark.mxmNativeWithMask,4,50,UNIFORM,100000,true,true,1,avgt,10,186.970,1.043,ms/op
ejmlOps.mask.MxMWithMaskNativeBenchmark.mxmNativeWithMask,4,5,UNIFORM,100000,false,false,8,avgt,10,30.253,0.786,ms/op
ejmlOps.mask.MxMWithMaskNativeBenchmark.mxmNativeWithMask,4,5,UNIFORM,100000,false,true,8,avgt,10,31.335,1.048,ms/op
ejmlOps.mask.MxMWithMaskNativeBenchmark.mxmNativeWithMask,4,5,UNIFORM,100000,true,false,8,avgt,10,92.035,3.339,ms/op
ejmlOps.mask.MxMWithMaskNativeBenchmark.mxmNativeWithMask,4,5,UNIFORM,100000,true,true,8,avgt,10,93.473,4.165,ms/op
ejmlOps.mask.MxMWithMaskNativeBenchmark.mxmNativeWithMask,4,50,UNIFORM,100000,false,false,8,avgt,10,171.013,12.372,ms/op
ejmlOps.mask.MxMWithMaskNativeBenchmark.mxmNativeWithMask,4,50,UNIFORM,100000,false,true,8,avgt,10,164.705,11.031,ms/op
ejmlOps.mask.MxMWithMaskNativeBenchmark.mxmNativeWithMask,4,50,UNIFORM,100000,true,false,8,avgt,10,225.290,10.055,ms/op
ejmlOps.mask.MxMWithMaskNativeBenchmark.mxmNativeWithMask,4,50,UNIFORM,100000,true,true,8,avgt,10,233.722,21.237,ms/op
