Benchmark,avgEntriesPerColumn,degreeDistribution,dimension,monoidName,Mode,Cnt,Score,Error,Units
ejmlOps.semiring.ReduceColumnWiseWithSemiringBenchmark.reduceColWise,4,UNIFORM,500000,Plus,avgt,10,2.917,0.083,ms/op
ejmlOps.semiring.ReduceColumnWiseWithSemiringBenchmark.reduceColWise,4,UNIFORM,500000,Or,avgt,10,2.572,0.057,ms/op
ejmlOps.semiring.ReduceColumnWiseWithSemiringBenchmark.reduceColWise,4,UNIFORM,500000,Min,avgt,10,9.604,0.178,ms/op
ejmlOps.semiring.ReduceColumnWiseWithSemiringBenchmark.reduceColWise,4,UNIFORM,1000000,Plus,avgt,10,5.670,0.172,ms/op
ejmlOps.semiring.ReduceColumnWiseWithSemiringBenchmark.reduceColWise,4,UNIFORM,1000000,Or,avgt,10,5.053,0.112,ms/op
ejmlOps.semiring.ReduceColumnWiseWithSemiringBenchmark.reduceColWise,4,UNIFORM,1000000,Min,avgt,10,18.775,0.599,ms/op
ejmlOps.semiring.ReduceColumnWiseWithSemiringBenchmark.reduceColWise,4,UNIFORM,1500000,Plus,avgt,10,9.287,0.202,ms/op
ejmlOps.semiring.ReduceColumnWiseWithSemiringBenchmark.reduceColWise,4,UNIFORM,1500000,Or,avgt,10,8.021,0.214,ms/op
ejmlOps.semiring.ReduceColumnWiseWithSemiringBenchmark.reduceColWise,4,UNIFORM,1500000,Min,avgt,10,27.841,0.791,ms/op
ejmlOps.semiring.ReduceColumnWiseWithSemiringNativeBenchmark.reduceColWiseNative,4,UNIFORM,500000,Plus,avgt,10,15.114,5.792,ms/op
ejmlOps.semiring.ReduceColumnWiseWithSemiringNativeBenchmark.reduceColWiseNative,4,UNIFORM,500000,Or,avgt,10,14.738,3.203,ms/op
ejmlOps.semiring.ReduceColumnWiseWithSemiringNativeBenchmark.reduceColWiseNative,4,UNIFORM,500000,Min,avgt,10,14.693,3.515,ms/op
ejmlOps.semiring.ReduceColumnWiseWithSemiringNativeBenchmark.reduceColWiseNative,4,UNIFORM,1000000,Plus,avgt,10,51.447,2.026,ms/op
ejmlOps.semiring.ReduceColumnWiseWithSemiringNativeBenchmark.reduceColWiseNative,4,UNIFORM,1000000,Or,avgt,10,51.309,3.240,ms/op
ejmlOps.semiring.ReduceColumnWiseWithSemiringNativeBenchmark.reduceColWiseNative,4,UNIFORM,1000000,Min,avgt,10,50.501,1.557,ms/op
ejmlOps.semiring.ReduceColumnWiseWithSemiringNativeBenchmark.reduceColWiseNative,4,UNIFORM,1500000,Plus,avgt,10,67.506,0.803,ms/op
ejmlOps.semiring.ReduceColumnWiseWithSemiringNativeBenchmark.reduceColWiseNative,4,UNIFORM,1500000,Or,avgt,10,68.771,3.621,ms/op
ejmlOps.semiring.ReduceColumnWiseWithSemiringNativeBenchmark.reduceColWiseNative,4,UNIFORM,1500000,Min,avgt,10,67.078,1.288,ms/op
