Benchmark,avgDegree,concurrency,dampingFactor,nodeCountIterationCombinations,orientation,tolerance,Mode,Cnt,Score,Error,Units
pageRank.PageRankEjmlBenchmark.ejml,4,1,0.85,0.1M;20,Natural,1e-32,avgt,5,41.078,0.371,ms/op
pageRank.PageRankEjmlBenchmark.ejml,4,1,0.85,0.5M;20,Natural,1e-32,avgt,5,236.897,23.064,ms/op
pageRank.PageRankEjmlBenchmark.ejml,4,1,0.85,1M;20,Natural,1e-32,avgt,5,492.542,6.179,ms/op
pageRank.PageRankEjmlBenchmark.ejml,4,1,0.85,5M;20,Natural,1e-32,avgt,5,2900.341,48.884,ms/op
pageRank.PageRankEjmlBenchmark.ejml,4,1,0.85,1M;5,Natural,1e-32,avgt,5,143.526,2.823,ms/op
pageRank.PageRankEjmlBenchmark.ejml,4,1,0.85,1M;10,Natural,1e-32,avgt,5,263.424,3.159,ms/op
pageRank.PageRankEjmlBenchmark.ejml,4,1,0.85,1M;15,Natural,1e-32,avgt,5,373.362,5.312,ms/op
pageRank.PageRankGdsBenchmark.gds,4,1,0.85,0.1M;20,Natural,1e-32,avgt,10,112.005,0.300,ms/op
pageRank.PageRankGdsBenchmark.gds,4,1,0.85,0.5M;20,Natural,1e-32,avgt,10,522.956,6.554,ms/op
pageRank.PageRankGdsBenchmark.gds,4,1,0.85,1M;20,Natural,1e-32,avgt,10,1338.820,19.665,ms/op
pageRank.PageRankGdsBenchmark.gds,4,1,0.85,5M;20,Natural,1e-32,avgt,10,5930.490,244.192,ms/op
pageRank.PageRankGdsBenchmark.gds,4,1,0.85,1M;5,Natural,1e-32,avgt,10,358.037,8.589,ms/op
pageRank.PageRankGdsBenchmark.gds,4,1,0.85,1M;10,Natural,1e-32,avgt,10,674.419,13.307,ms/op
pageRank.PageRankGdsBenchmark.gds,4,1,0.85,1M;15,Natural,1e-32,avgt,10,1028.170,12.321,ms/op
pageRank.PageRankGdsBenchmark.gds,4,8,0.85,0.1M;20,Natural,1e-32,avgt,10,483.910,33.303,ms/op
pageRank.PageRankGdsBenchmark.gds,4,8,0.85,0.5M;20,Natural,1e-32,avgt,10,1083.688,153.672,ms/op
pageRank.PageRankGdsBenchmark.gds,4,8,0.85,1M;20,Natural,1e-32,avgt,10,1891.433,104.589,ms/op
pageRank.PageRankGdsBenchmark.gds,4,8,0.85,5M;20,Natural,1e-32,avgt,10,7188.891,578.161,ms/op
pageRank.PageRankGdsBenchmark.gds,4,8,0.85,1M;5,Natural,1e-32,avgt,10,512.672,26.722,ms/op
pageRank.PageRankGdsBenchmark.gds,4,8,0.85,1M;10,Natural,1e-32,avgt,10,966.518,41.558,ms/op
pageRank.PageRankGdsBenchmark.gds,4,8,0.85,1M;15,Natural,1e-32,avgt,10,1450.253,71.434,ms/op
pageRank.PageRankJGraphTBenchmark.jGraphT,4,1,0.85,0.1M;20,Natural,1e-32,avgt,5,150.422,7.531,ms/op
pageRank.PageRankJGraphTBenchmark.jGraphT,4,1,0.85,0.5M;20,Natural,1e-32,avgt,5,1101.529,107.931,ms/op
pageRank.PageRankJGraphTBenchmark.jGraphT,4,1,0.85,1M;20,Natural,1e-32,avgt,5,2393.090,355.607,ms/op
pageRank.PageRankJGraphTBenchmark.jGraphT,4,1,0.85,5M;20,Natural,1e-32,avgt,5,14679.485,6665.857,ms/op
