benchmark, concurrency, dataset, median
PageRankNativeBenchmark,1,Facebook,6
PageRankNativeBenchmark,8,Facebook,5
PageRankNativeBenchmark,1,POKEC,5023
PageRankNativeBenchmark,8,POKEC,1054
PageRankNativeBenchmark,1,LDBC01,3571
PageRankNativeBenchmark,8,LDBC01,816
PageRankNativeBenchmark,1,Slashdot0902,71
PageRankNativeBenchmark,8,Slashdot0902,68
PageRankEjmlBenchmark,1,Facebook,3
PageRankEjmlBenchmark,1,POKEC,3716
PageRankEjmlBenchmark,1,LDBC01,2091
PageRankEjmlBenchmark,1,Slashdot0902,51
PageRankPregelBenchmark,1,Facebook,43
PageRankPregelBenchmark,8,Facebook,95
PageRankPregelBenchmark,1,POKEC,16596
PageRankPregelBenchmark,8,POKEC,8213
PageRankPregelBenchmark,1,LDBC01,10254
PageRankPregelBenchmark,8,LDBC01,6419
PageRankPregelBenchmark,1,Slashdot0902,490
PageRankPregelBenchmark,8,Slashdot0902,266
PageRankJGraphTBenchmark,1,Facebook,19
PageRankJGraphTBenchmark,1,POKEC,22239
PageRankJGraphTBenchmark,1,LDBC01,9595
PageRankJGraphTBenchmark,1,Slashdot0902,306

