benchmark, concurrency, dataset, median
TriangleCountGlobalEjmlBenchmark,1,Facebook,19
TriangleCountGlobalEjmlBenchmark,1,LDBC01,14231
TriangleCountGlobalEjmlBenchmark,1,POKEC,6439
TriangleCountGlobalEjmlBenchmark,1,Slashdot0902,126
TriangleCountVertexWiseEjmlBenchmark,1,Facebook,47
TriangleCountVertexWiseEjmlBenchmark,1,POKEC,14398
TriangleCountVertexWiseEjmlBenchmark,1,Slashdot0902,226
TriangleCountGlobalNativeBenchmark,1,Facebook,18
TriangleCountGlobalNativeBenchmark,8,Facebook,8
TriangleCountGlobalNativeBenchmark,1,LDBC01,7948
TriangleCountGlobalNativeBenchmark,8,LDBC01,1504
TriangleCountGlobalNativeBenchmark,1,POKEC,11424
TriangleCountGlobalNativeBenchmark,8,POKEC,2523
TriangleCountGlobalNativeBenchmark,1,Slashdot0902,142
TriangleCountGlobalNativeBenchmark,8,Slashdot0902,40
TriangleCountVertexWiseNativeBenchmark,1,Facebook,50
TriangleCountVertexWiseNativeBenchmark,8,Facebook,17
TriangleCountVertexWiseNativeBenchmark,1,LDBC01,40236
TriangleCountVertexWiseNativeBenchmark,8,LDBC01,8275
TriangleCountVertexWiseNativeBenchmark,1,POKEC,26717
TriangleCountVertexWiseNativeBenchmark,8,POKEC,5815
TriangleCountVertexWiseNativeBenchmark,1,Slashdot0902,253
TriangleCountVertexWiseNativeBenchmark,8,Slashdot0902,78
TriangleCountVertexWisePregelBenchmark,1,Facebook,125
TriangleCountVertexWisePregelBenchmark,8,Facebook,78
TriangleCountVertexWisePregelBenchmark,1,POKEC,29071
TriangleCountVertexWisePregelBenchmark,8,POKEC,9484
TriangleCountVertexWisePregelBenchmark,1,Slashdot0902,796
TriangleCountVertexWisePregelBenchmark,8,Slashdot0902,307

