Benchmark,avgDegree,concurrency,nodeCount,Mode,Cnt,Score,Error,Units
ejmlGlobalSandia,4,1,10000,avgt,5,4.394,0.275,ms/op
ejmlGlobalSandia,4,1,100000,avgt,5,50.733,4.475,ms/op
ejmlGlobalSandia,4,1,1000000,avgt,5,695.025,54.814,ms/op
ejmlNodeWise,4,1,10000,avgt,5,8.622,0.668,ms/op
ejmlNodeWise,4,1,100000,avgt,5,128.773,15.706,ms/op
ejmlNodeWise,4,1,1000000,avgt,5,1582.437,129.286,ms/op
gds,4,1,10000,avgt,5,7.478,0.035,ms/op
gds,4,1,100000,avgt,5,280.106,1.623,ms/op
gds,4,1,1000000,avgt,5,26414.332,33.358,ms/op
gds,4,8,10000,avgt,5,9.509,2.344,ms/op
gds,4,8,100000,avgt,5,204.694,6.132,ms/op
gds,4,8,1000000,avgt,5,12115.706,289.480,ms/op
triangleCount.TriangleCountNativeBenchmark.jniNodeWise,4,1,10000,avgt,5,3.354,0.079,ms/op
triangleCount.TriangleCountNativeBenchmark.jniNodeWise,4,1,100000,avgt,5,49.715,4.718,ms/op
triangleCount.TriangleCountNativeBenchmark.jniNodeWise,4,1,1000000,avgt,5,894.394,49.952,ms/op
triangleCount.TriangleCountNativeBenchmark.jniNodeWise,4,8,10000,avgt,5,1.626,0.054,ms/op
triangleCount.TriangleCountNativeBenchmark.jniNodeWise,4,8,100000,avgt,5,20.190,2.004,ms/op
triangleCount.TriangleCountNativeBenchmark.jniNodeWise,4,8,1000000,avgt,5,331.927,9.466,ms/op
triangleCount.TriangleCountNativeBenchmark.jniSandia,4,1,10000,avgt,5,1.612,0.062,ms/op
triangleCount.TriangleCountNativeBenchmark.jniSandia,4,1,100000,avgt,5,18.545,1.115,ms/op
triangleCount.TriangleCountNativeBenchmark.jniSandia,4,1,1000000,avgt,5,367.135,36.078,ms/op
triangleCount.TriangleCountNativeBenchmark.jniSandia,4,8,10000,avgt,5,1.584,0.118,ms/op
triangleCount.TriangleCountNativeBenchmark.jniSandia,4,8,100000,avgt,5,13.085,1.638,ms/op
triangleCount.TriangleCountNativeBenchmark.jniSandia,4,8,1000000,avgt,5,195.342,18.720,ms/op
