Benchmark,avgDegree,concurrency,nodeCount,Mode,Cnt,Score,Error,Units
triangleCount.TriangleCountEjmlBenchmark.ejmlGlobal,4,1,10000,avgt,10,1.924,0.052,ms/op
triangleCount.TriangleCountEjmlBenchmark.ejmlGlobal,4,1,100000,avgt,10,16.403,0.424,ms/op
triangleCount.TriangleCountEjmlBenchmark.ejmlGlobal,4,1,500000,avgt,10,93.092,3.467,ms/op
triangleCount.TriangleCountEjmlBenchmark.ejmlGlobal,4,1,1000000,avgt,10,200.977,6.963,ms/op
triangleCount.TriangleCountEjmlBenchmark.ejmlNodeWise,4,1,10000,avgt,10,3.050,0.089,ms/op
triangleCount.TriangleCountEjmlBenchmark.ejmlNodeWise,4,1,100000,avgt,10,30.517,0.433,ms/op
triangleCount.TriangleCountEjmlBenchmark.ejmlNodeWise,4,1,500000,avgt,10,193.106,7.386,ms/op
triangleCount.TriangleCountEjmlBenchmark.ejmlNodeWise,4,1,1000000,avgt,10,441.752,9.718,ms/op
triangleCount.TriangleCountNativeBenchmark.jniNodeWise,4,1,10000,avgt,10,3.134,0.015,ms/op
triangleCount.TriangleCountNativeBenchmark.jniNodeWise,4,1,100000,avgt,10,38.789,0.242,ms/op
triangleCount.TriangleCountNativeBenchmark.jniNodeWise,4,1,500000,avgt,10,308.872,1.097,ms/op
triangleCount.TriangleCountNativeBenchmark.jniNodeWise,4,1,1000000,avgt,10,822.814,11.608,ms/op
triangleCount.TriangleCountNativeBenchmark.jniNodeWise,4,8,10000,avgt,10,2.510,0.049,ms/op
triangleCount.TriangleCountNativeBenchmark.jniNodeWise,4,8,100000,avgt,10,21.440,0.555,ms/op
triangleCount.TriangleCountNativeBenchmark.jniNodeWise,4,8,500000,avgt,10,98.712,6.743,ms/op
triangleCount.TriangleCountNativeBenchmark.jniNodeWise,4,8,1000000,avgt,10,237.302,4.582,ms/op
triangleCount.TriangleCountNativeBenchmark.jniGlobal,4,1,10000,avgt,10,1.612,0.004,ms/op
triangleCount.TriangleCountNativeBenchmark.jniGlobal,4,1,100000,avgt,10,17.292,0.231,ms/op
triangleCount.TriangleCountNativeBenchmark.jniGlobal,4,1,500000,avgt,10,109.539,0.344,ms/op
triangleCount.TriangleCountNativeBenchmark.jniGlobal,4,1,1000000,avgt,10,300.502,1.407,ms/op
triangleCount.TriangleCountNativeBenchmark.jniGlobal,4,8,10000,avgt,10,1.622,0.015,ms/op
triangleCount.TriangleCountNativeBenchmark.jniGlobal,4,8,100000,avgt,10,15.702,0.177,ms/op
triangleCount.TriangleCountNativeBenchmark.jniGlobal,4,8,500000,avgt,10,53.693,1.163,ms/op
triangleCount.TriangleCountNativeBenchmark.jniGlobal,4,8,1000000,avgt,10,118.148,0.623,ms/op
