Benchmark,avgDegree,concurrency,nodeCount,Mode,Cnt,Score,Error,Units
ejmlGlobalSandia,4,N/A,10000,avgt,5,32.459,0.635,ms/op
ejmlGlobalSandia,4,N/A,100000,avgt,5,3464.068,8.206,ms/op
ejmlGlobalSandia,4,N/A,1000000,avgt,5,304798.323,897.960,ms/op
ejmlNodeWise,4,N/A,10000,avgt,5,84.396,1.050,ms/op
ejmlNodeWise,4,N/A,100000,avgt,5,5305.606,5.089,ms/op
ejmlNodeWise,4,N/A,1000000,avgt,5,981223.131,402.374,ms/op
ejmlGlobalSandiaBinarySearch,4,N/A,10000,avgt,5,4.394,0.275,ms/op
ejmlGlobalSandiaBinarySearch,4,N/A,100000,avgt,5,50.733,4.475,ms/op
ejmlGlobalSandiaBinarySearch,4,N/A,1000000,avgt,5,695.025,54.814,ms/op
ejmlNodeWiseBinarySearch,4,N/A,10000,avgt,5,8.622,0.668,ms/op
ejmlNodeWiseBinarySearch,4,N/A,100000,avgt,5,128.773,15.706,ms/op
ejmlNodeWiseBinarySearch,4,N/A,1000000,avgt,5,1582.437,129.286,ms/op
gds,4,1,10000,avgt,5,7.478,0.035,ms/op
gds,4,1,100000,avgt,5,280.106,1.623,ms/op
gds,4,1,1000000,avgt,5,26414.332,33.358,ms/op
gds,4,8,10000,avgt,5,9.509,2.344,ms/op
gds,4,8,100000,avgt,5,204.694,6.132,ms/op
gds,4,8,1000000,avgt,5,12115.706,289.480,ms/op
